id,key,name,text,pages,Group,platform,load,translated_text
1,building.name.buildings,en,Buildings,building,name,any,f,भवनहरू
2,building.button.add_building,en,Add Building,building,button,any,f,भवन थप्नुहोस्
3,building.name.edit_building,en,Edit Building,building,name,any,f,भवन सम्पादन गर्नुहोस्
4,building.name.buildings_details,en,Buildings Details,building,name,any,f,भवनको विवरण
5,building.label.owner_information,en,Owner Information,building,label,any,f,घरधनीको जानकारी
6,building.label.owner_contact_number,en,Owner Contact Number,building,label,any,f,घरधनीको सम्पर्क नम्बर
7,building.label.owner_nid,en,Owner NID,building,label,any,f,घरधनीको नागरिकता नम्बर
8,building.label.building_information,en,Building Information,building,label,any,f,भवन सम्बन्धी जानकारी
9,building.label.main_building,en,Main Building,building,label,any,f,मुख्य भवन
10,building.label.ward_number,en,Ward Number,building,label,any,f,वडा नम्बर
11,building.label.house_number,en,House Number,building,label,any,f,घर नम्बर
12,building.label.house_locality_address,en,House Locality/Address,building,label,any,f,घरको ठेगाना
13,building.label.tax_code_holding_id,en,Tax Code/Holding ID,building,label,any,f,कर / होल्डिङ संकेत नम्बर
14,building.label.structure_type,en,Structure Type,building,label,any,f,संरचना प्रकार
15,building.label.surveyed_date,en,Surveyed Date,building,label,any,f,सर्वेक्षण गरिएको मिति
16,building.label.construction_date,en,Construction Date,building,label,any,f,निर्माण मिति
17,building.label.number_of_floors,en,Number of Floors,building,label,any,f,घरको तला
18,building.label.functional_use_of_building,en,Functional Use of Building,building,label,any,f,भवनको प्रयोग
19,building.label.office_or_business_name,en,Office or Business Name,building,label,any,f,कार्यालय वा व्यवसायको नाम
20,building.label.number_of_households,en,Number of Households,building,label,any,f,घरपरिवारको संख्या
21,building.label.population_of_building,en,Population of Building,building,label,any,f,भवनमा रहेको जनसंख्या
22,building.label.male_population,en,Male Population,building,label,any,f,पुरुष जनसंख्या
23,building.label.female_population,en,Female Population,building,label,any,f,महिला जनसंख्या
24,building.label.other_population,en,Other Population,building,label,any,f,अन्य जनसंख्या
25,building.label.differently_abled_male_population,en,Differently Abled Male Population,building,label,any,f,अपाङ्ग पुरुष जनसंख्या
26,building.label.differently_abled_female_population,en,Differently Abled Female Population,building,label,any,f,अपाङ्ग महिला जनसंख्या
27,building.label.differently_abled_other_population,en,Differently Abled Other Population,building,label,any,f,अपाङ्ग अन्य जनसंख्या
28,building.label.is_low_income_house,en,Is Low Income House,building,label,any,f,न्यून आय भएको घर हो
