id,key,name,text,pages,Group,platform,load,created_at,updated_at
1,building.name.buildings,en,Buildings,building,name,any,f,,
2,building.button.add_building,en,Add Building,building,button,any,f,,
3,building.name.edit_building,en,Edit Building,building,name,any,f,,
4,building.name.buildings_details,en,Buildings Details,building,name,any,f,,
5,building.label.owner_information,en,Owner Information,building,label,any,f,,
6,building.label.owner_contact_number,en,Owner Contact Number,building,label,any,f,,
7,building.label.owner_nid,en,Owner NID,building,label,any,f,,
8,building.label.building_information,en,Building Information,building,label,any,f,,
9,building.label.main_building,en,Main Building,building,label,any,f,,
10,building.label.ward_number,en,Ward Number,building,label,any,f,,
11,building.label.house_number,en,House Number,building,label,any,f,,
12,building.label.house_locality_address,en,House Locality/Address,building,label,any,f,,
13,building.label.tax_code_holding_id,en,Tax Code/Holding ID,building,label,any,f,,
14,building.label.structure_type,en,Structure Type,building,label,any,f,,
15,building.label.surveyed_date,en,Surveyed Date,building,label,any,f,,
16,building.label.construction_date,en,Construction Date,building,label,any,f,,
17,building.label.number_of_floors,en,Number of Floors,building,label,any,f,,
18,building.label.functional_use_of_building,en,Functional Use of Building,building,label,any,f,,
19,building.label.office_or_business_name,en,Office or Business Name,building,label,any,f,,
20,building.label.number_of_households,en,Number of Households,building,label,any,f,,
21,building.label.population_of_building,en,Population of Building,building,label,any,f,,
22,building.label.male_population,en,Male Population,building,label,any,f,,
23,building.label.female_population,en,Female Population,building,label,any,f,,
24,building.label.other_population,en,Other Population,building,label,any,f,,
25,building.label.differently_abled_male_population,en,Differently Abled Male Population,building,label,any,f,,
26,building.label.differently_abled_female_population,en,Differently Abled Female Population,building,label,any,f,,
27,building.label.differently_abled_other_population,en,Differently Abled Other Population,building,label,any,f,,
28,building.label.is_low_income_house,en,Is Low Income House,building,label,any,f,,
29,building.label.located_in_lic,en,Located In LIC,building,label,any,f,,
30,building.label.water_source_information,en,Water Source Information,building,label,any,f,,
31,building.label.main_drinking_water_source,en,Main Drinking Water Source,building,label,any,f,,
32,building.label.well_in_premises,en,Well in Premises,building,label,any,f,,
33,building.label.distance_of_well_from_closest_containment,en,Distance of Well from Closest Containment (m),building,label,any,f,,
34,building.label.solid_waste_management_information,en,Solid Waste Management Information,building,label,any,f,,
35,building.label.swm_customer_id,en,SWM Customer ID,building,label,any,f,,
36,building.label.sanitation_system_information,en,Sanitation System Information,building,label,any,f,,
37,building.label.presence_of_toilet,en,Presence of Toilet,building,label,any,f,,
38,building.label.number_of_toilets,en,Number of Toilets,building,label,any,f,,
39,building.label.households_with_private_toilet,en,Households with Private Toilet,building,label,any,f,,
40,building.label.population_with_uses_private_toilet,en,Population with uses Private Toilet,building,label,any,f,,
41,building.label.toilet_connection,en,Toilet Connection,building,label,any,f,,
42,building.label.defecation_place,en,Defecation Place,building,label,any,f,,
